Viper_body

Right Surface Points
        x()          y()          z()
       -0.141          0.031         -0.082
       -0.141          0.026         -0.085
       -0.141          0.021         -0.087
       -0.141          0.015         -0.089
       -0.141          0.008         -0.091
       -0.141          0.000         -0.091

  Cross Section  16
       -0.120          0.000          0.075
       -0.120          0.008          0.075
       -0.120          0.015          0.074
       -0.120          0.021          0.072
       -0.120          0.027          0.070
       -0.120          0.032          0.067
       -0.120          0.036          0.064
       -0.120          0.039          0.060
       -0.120          0.042          0.056
       -0.120          0.044          0.051
       -0.120          0.046          0.046
       -0.120          0.048          0.041
       -0.120          0.049          0.035
       -0.120          0.050          0.029
       -0.120          0.050          0.022
       -0.120          0.050          0.016
       -0.120          0.051          0.009
       -0.120          0.051          0.002
       -0.120          0.051         -0.005
       -0.120          0.051         -0.012
       -0.120          0.051         -0.019
       -0.120          0.050         -0.026
       -0.120          0.050         -0.033
       -0.120          0.050         -0.040
       -0.120          0.049         -0.046
       -0.120          0.048         -0.053
       -0.120          0.046         -0.059
       -0.120          0.044         -0.065
       -0.120          0.042         -0.070
       -0.120          0.039         -0.075
       -0.120          0.036         -0.080
       -0.120          0.032         -0.084
       -0.120          0.027         -0.087
       -0.120          0.021         -0.090
       -0.120          0.015         -0.092
       -0.120          0.008         -0.093
       -0.120          0.000         -0.094

  Cross Section  17
       -0.098          0.000          0.080
       -0.098          0.008          0.079
       -0.098          0.015          0.078
       -0.098          0.022          0.077
       -0.098          0.027          0.074
       -0.098          0.032          0.071
       -0.098          0.036          0.068
       -0.098          0.039          0.064
       -0.098          0.042          0.059
       -0.098          0.045          0.054
       -0.098          0.047          0.049
       -0.098          0.048          0.043
       -0.098          0.049          0.037
       -0.098          0.050          0.031
       -0.098          0.051          0.024
       -0.098          0.051          0.017
       -0.098          0.051          0.010
       -0.098          0.051          0.003
       -0.098          0.051         -0.004
       -0.098          0.051         -0.011
       -0.098          0.051         -0.019
       -0.098          0.051         -0.026
       -0.098          0.051         -0.033
       -0.098          0.050         -0.040
       -0.098          0.049         -0.047
       -0.098          0.048         -0.054
       -0.098          0.047         -0.060
       -0.098          0.045         -0.066
       -0.098          0.042         -0.072
       -0.098          0.039         -0.077
       -0.098          0.036         -0.082
       -0.098          0.032         -0.086
       -0.098          0.027         -0.089
       -0.098          0.022         -0.092
       -0.098          0.015         -0.094
       -0.098          0.008         -0.095
       -0.098          0.000         -0.096

  Cross Section  18
       -0.075          0.000          0.084
       -0.075          0.008          0.084
       -0.075          0.015          0.083
       -0.075          0.022          0.081
       -0.075          0.027          0.078
       -0.075          0.032          0.075
       -0.075          0.036          0.072
       -0.075          0.040          0.067
       -0.075          0.043          0.063
       -0.075          0.045          0.057
       -0.075          0.047          0.052
       -0.075          0.048          0.046
       -0.075          0.050          0.040
       -0.075          0.050          0.033
       -0.075          0.051          0.026
       -0.075          0.051          0.019
       -0.075          0.051          0.012
       -0.075          0.051          0.004
       -0.075          0.051         -0.003
       -0.075          0.051         -0.011
       -0.075          0.051         -0.018
       -0.075          0.051         -0.026
       -0.075          0.051         -0.033
       -0.075          0.050         -0.041
       -0.075          0.050         -0.048
       -0.075          0.048         -0.055
       -0.075          0.047         -0.061
       -0.075          0.045         -0.067
       -0.075          0.043         -0.073
       -0.075          0.040         -0.078
       -0.075          0.036         -0.083
       -0.075          0.032         -0.087
       -0.075          0.027         -0.091
       -0.075          0.022         -0.094
       -0.075          0.015         -0.096
       -0.075          0.008         -0.097
       -0.075          0.000         -0.097

  Cross Section  19
       -0.051          0.000          0.089
       -0.051          0.008          0.088
       -0.051          0.015          0.087
       -0.051          0.022          0.085
       -0.051          0.027          0.083
       -0.051          0.032          0.079
       -0.051          0.036          0.076
       -0.051          0.040          0.071
       -0.051          0.043          0.066
       -0.051          0.045          0.061
       -0.051          0.047          0.055
       -0.051          0.048          0.049
       -0.051          0.050          0.042
       -0.051          0.050          0.035
       -0.051          0.051          0.028
       -0.051          0.051          0.021
       -0.051          0.051          0.013
       -0.051          0.051          0.005
       -0.051          0.051         -0.002
       -0.051          0.051         -0.010
       -0.051          0.051         -0.018
       -0.051          0.051         -0.026
       -0.051          0.051         -0.033
       -0.051          0.050         -0.041
       -0.051          0.050         -0.048
       -0.051          0.048         -0.055
       -0.051          0.047         -0.062
       -0.051          0.045         -0.068
       -0.051          0.043         -0.074
       -0.051          0.040         -0.079
       -0.051          0.036         -0.084
       -0.051          0.032         -0.088
       -0.051          0.027         -0.092
       -0.051          0.022         -0.095
       -0.051          0.015         -0.097
       -0.051          0.008         -0.098
       -0.051          0.000         -0.098

  Cross Section  20
       -0.028          0.000          0.094
       -0.028          0.008          0.093
       -0.028          0.015          0.092
       -0.028          0.022          0.090
       -0.028          0.027          0.087
       -0.028          0.032          0.084
       -0.028          0.036          0.080
       -0.028          0.040          0.075
       -0.028          0.043          0.070
       -0.028          0.045          0.064
       -0.028          0.047          0.058
       -0.028          0.048          0.051
       -0.028          0.049          0.045
       -0.028          0.050          0.037
       -0.028          0.051          0.030
       -0.028          0.051          0.022
       -0.028          0.051          0.015
       -0.028          0.051          0.007
       -0.028          0.051         -0.001
       -0.028          0.051         -0.009
       -0.028          0.051         -0.017
       -0.028          0.051         -0.025
